1,0,1058,593,108,224,0,0
1,1,618,575,70,155,0,0
1,2,1782,836,137,239,0,0
1,3,1668,661,83,237,0,0
1,4,434,585,61,153,0,0
1,5,309,514,55,127,0,0
1,6,1585,547,66,223,0,0
1,7,1270,602,100,181,0,0
1,8,544,544,41,118,0,0
1,9,457,466,47,102,0,0
2,0,1059,605,105,214,0,0
2,1,621,574,66,152,0,0
2,2,1772,840,146,236,0,0
2,3,1668,678,85,218,0,0
2,4,432,585,60,151,0,0
2,5,307,513,56,129,0,0
2,6,1581,546,68,223,0,0
2,7,1269,599,104,185,0,0
2,8,544,542,40,123,0,0
2,9,457,467,49,103,0,0
3,0,1058,601,104,217,0,0
3,1,622,573,66,153,0,0
3,2,1761,842,154,232,0,0
3,3,1676,670,86,228,0,0
3,4,432,585,57,151,0,0
3,5,306,513,57,129,0,0
3,6,1579,546,70,219,0,0
3,7,1272,602,104,182,0,0
3,8,544,545,39,120,0,0
3,9,458,467,49,106,0,0
3,10,173,456,39,89,0,0
3,11,244,451,36,91,0,0
4,0,1056,599,100,214,0,0
4,1,624,572,60,152,0,0
4,2,1747,845,158,231,0,0
4,3,431,585,57,151,0,0
4,4,306,512,53,130,0,0
4,5,1293,604,85,146,0,0
4,6,459,467,49,105,0,0
4,7,173,457,39,88,0,0
4,8,244,451,36,91,0,0
4,9,682,561,64,145,0,0
5,0,1055,598,93,212,0,0
5,1,626,572,55,150,0,0
5,2,1733,846,162,232,0,0
5,3,430,585,58,150,0,0
5,4,304,513,54,127,0,0
5,5,1303,604,75,132,0,0
5,6,459,466,50,107,0,0
5,7,172,456,39,91,0,0
5,8,242,449,38,94,0,0
5,9,682,561,64,145,0,0
5,10,1248,546,50,148,0,0
6,0,1054,597,84,211,0,0
6,1,628,571,51,153,0,0
6,2,1717,837,174,241,0,0
6,3,431,585,57,150,0,0
6,4,303,513,58,127,0,0
6,5,1308,604,72,125,0,0
6,6,460,466,49,106,0,0
6,7,172,456,38,91,0,0
6,8,240,448,40,98,0,0
6,9,679,561,66,145,0,0
6,10,1249,545,48,149,0,0
6,11,1369,797,109,279,0,0
6,12,516,545,61,138,0,0
7,0,1057,597,76,211,0,0
7,1,626,570,52,156,0,0
7,2,1704,837,173,240,0,0
7,3,430,586,58,149,0,0
7,4,302,513,58,127,0,0
7,5,1309,603,72,121,0,0
7,6,461,465,47,109,0,0
7,7,171,455,38,92,0,0
7,8,241,447,39,99,0,0
7,9,677,561,69,145,0,0
7,10,1249,545,47,151,0,0
7,11,1360,787,118,288,0,0
7,12,511,548,65,137,0,0
8,0,1057,597,67,211,0,0
8,1,624,571,53,154,0,0
8,2,1692,832,167,246,0,0
8,3,428,588,59,149,0,0
8,4,304,512,56,128,0,0
8,5,1311,604,73,115,0,0
8,6,461,465,48,109,0,0
8,7,171,454,38,94,0,0
8,8,239,447,41,98,0,0
8,9,677,562,67,142,0,0
8,10,1249,547,48,150,0,0
8,11,1354,790,123,285,0,0
8,12,508,549,67,137,0,0
9,0,1055,596,63,212,0,0
9,1,621,572,55,153,0,0
9,2,1682,826,164,252,0,0
9,3,429,592,56,147,0,0
9,4,301,511,60,132,0,0
